Sappho,CS,Building a REST API for writing poetry
Tony Stark,DS,Building a REST API for running a multinational corporation
Dr. Henry Jekyll,DS,Creating a web interface for suppressing violent urges
Leo Tolstoy,CSDS,Creating a web interface for writing Russian novels
Ridley Scott,CS,Creating a web interface for making fantasy movies
Keyser Söze,DS,Creating an app for running a criminal enterprise
Princess Fiona,DS,Building a service to help waiting for a hero
Johnny Cash,CS,Creating a web interface for singing country music
Kenny G,CSDS,Creating an app for playing the saxophone
Carrie Bradshaw,DS,Building a REST API for writing about sex
Captain Ahab,DS,Building a service to help commanding a whaling ship
Joseph Goebbels,CS,Building a service to help promoting totalitarianism
Liz Lemon,DS,Building a service to help writing comedy
Shirley Temple,CS,Building a REST API for starring in Hollywood movies
Alec Baldwin,CS,Building a service to help attacking paparazzi
Catwoman,DS,Creating a web interface for stealing jewels
Jesse Pinkman,DS,Building a service to help running a criminal empire
George Clooney,CS,Building a service to help starring in indy movies
Homer,CSDS,Creating an app for telling epic tales
Salvador Dali,CSDS,Building a service to help creating optical illusions
Linus Torvalds,CS,Building a REST API for developing operating systems
H.P. Lovecraft,CS,Building a REST API for writing for pulp magazines
Buddy Holly,CS,Building a service to help writing pop songs
Jim Morrison,CS,Creating a web interface for writing rock songs
Yosemite Sam,DS,Creating an app for losing control
Russell Brand,CS,Creating an app for fomenting social revolution
Archimedes,CS,Building a REST API for proving math theorems
Robert Langdon,DS,Building a service to help following clues
William Shatner,CS,Creating a web interface for starring in TV shows
Steve Guttenberg,CS,Creating an app for making dumb comedies
Jenna Maroney,DS,Creating an app for singing pop songs
John F. Kennedy,CSDS,Building a REST API for chasing starlets
Woody Allen,CS,Building a REST API for directing comedies
Martin Luther,CS,Creating an app for recruiting dissidents
Monica Lewinsky,CS,Creating a web interface for causing political scandals
Charlie Parker,CS,Building a service to help playing jazz saxophone
Tom Sawyer,DS,Creating an app for playing pranks
Lars von Trier,CS,Creating a web interface for making new wave movies
Emperor Caligula,CS,Creating a web interface for terrorizing citizens
Sarah Jessica Parker,CSDS,Building a REST API for shopping for shoes
Sid Vicious,CSDS,Creating an app for scandalizing polite society
Conchita Wurst,CS,Creating a web interface for cross-dressing in women's clothes
Orson Welles,CS,Creating an app for starring in Hollywood movies
Oscar Pistorius,CS,Building a service to help competing in the Olympics
Moses,CS,Building a service to help leading an exodus
Andrew Lloyd Webber,CS,Creating an app for making insipid musicals
Tom Hanks,CSDS,Creating a web interface for playing everyman characters
Simon Cowell,CS,Building a service to help manipulating ingenues
Noam Chomsky,CS,Building a service to help studying linguistics
Tyra Banks,CS,Creating a web interface for modeling clothes
Captain William Bligh,CS,Building a REST API for barking orders at subordinates
Charles Dickens,CSDS,Building a REST API for writing serialized stories
Alec Baldwin,CS,Creating a web interface for attacking paparazzi
Hedda Hopper,CSDS,Building a REST API for promoting conservative values
Pablo Escobar,CS,Building a REST API for running a crime family
Monica Lewinsky,CS,Creating an app for causing political scandals
Captain William Bligh,CS,Creating an app for barking orders at subordinates
Larry Flynt,CSDS,Building a REST API for publishing soft pornography
Jesse Pinkman,DS,Creating a web interface for running a criminal empire
Robert E. Lee,CS,Creating an app for leading armies into battle
Cosmo Kramer,DS,Building a service to help mooching from neighbors
Andrew Lloyd Webber,CS,Building a service to help making insipid musicals
Dolly Parton,CS,Building a REST API for singing country music
Moses,CSDS,Creating a web interface for leading an exodus
Morrissey,CS,Creating a web interface for writing pop songs
Buck Rogers,DS,Creating an app for surviving in the 25th century
Audrey Hepburn,CSDS,Building a REST API for starring in romantic comedies
James T. Kirk,DS,Building a REST API for making strategic decisions
Edward Hopper,CS,Creating a web interface for painting melancholy pictures
Davy Crockett,CS,Creating an app for defending freedom
Ellen Ripley,DS,Building a service to help hunting aliens
Le Chiffre,DS,Building a service to help playing Baccarat 
Tom Hanks,CSDS,Creating a web interface for starring in Hollywood movies
John Wayne,CS,Creating a web interface for walking like a man
Liza Minnelli,CSDS,Creating an app for singing torch songs
Louis Pasteur,CS,Creating an app for studying science
Emperor Caligula,CSDS,Creating a web interface for abusing power
Bruce Willis,CS,Creating a web interface for making action movies
Kanye West,CS,Building a REST API for singing Hipbop songs
John Merrick,CSDS,Creating a web interface for hiding from the public
David Caruso,CS,Building a service to help pouting on camera
Barack Obama,CS,Creating a web interface for giving speeches
Emperor Palpatine,DS,Creating an app for running an empire
Daenerys Targaryen,DS,Creating a web interface for running a kingdom
Ariel Sharon,CSDS,Building a REST API for building giant walls
Joan of Arc,CSDS,Building a service to help leading armies into battle
Archie Bunker,DS,Building a REST API for ranting about liberals
Salvador Dali,CS,Creating an app for creating optical illusions
Ellen Ripley,DS,Creating a web interface for hunting aliens
Moses,CSDS,Building a REST API for leading an exodus
John Wayne,CS,Building a REST API for walking like a man
Scarlett O'Hara,DS,Creating an app for attending cotillion balls
Emperor Palpatine,DS,Building a REST API for promoting the Dark Side
Margaret Thatcher,CS,Creating an app for ranting about liberals
Emperor Caligula,CS,Creating an app for abusing power
Joseph Goebbels,CSDS,Creating an app for promoting totalitarianism
Elvis Presley,CS,Creating a web interface for singing rock songs
Elon Musk,CS,Creating an app for pioneering new technologies
Andrew Lloyd Webber,CS,Creating a web interface for making insipid musicals
Rocky Balboa,DS,Creating a web interface for winning boxing matches
Larry David,CS,Building a REST API for writing TV comedies
Jenna Jameson,CS,Creating a web interface for starring in pornographic movies
Matt Drudge,CS,Building a service to help spreading political gossip
Alexander the Great,CS,Building a service to help building empires
Inspector Gadget,DS,Creating an app for solving mysteries
Sideshow Bob,DS,Building a service to help developing cunning plans
Hedda Hopper,CS,Creating an app for promoting conservative values
Lars von Trier,CSDS,Building a service to help making new wave movies
Sideshow Bob,DS,Creating a web interface for providing comic relief
Snake Plissken,DS,Building a REST API for organizing prison breaks
John Lennon,CS,Creating a web interface for campaigning for world peace
Woody Allen,CS,Creating a web interface for directing Hollywood movies
Salvador Dali,CSDS,Building a REST API for creating optical illusions
Sideshow Bob,DS,Creating an app for developing cunning plans
Groot,DS,Building a service to help guarding the galaxy
Victor Meldrew,DS,Creating an app for complaining about everything
Groot,DS,Creating a web interface for guarding the galaxy
Louis Pasteur,CSDS,Building a REST API for studying science
Dorothy Parker,CSDS,Creating a web interface for writing short stories
Catwoman,DS,Building a service to help stealing jewels
John Merrick,CS,Creating an app for hiding from the public
